,value,metric,type
0,0.4953091722515275,ade,best_of
1,0.3965918888396587,ade,best_of
2,0.5264635139956667,ade,best_of
3,1.4581795897534937,ade,best_of
4,0.46484276539561403,ade,best_of
5,0.1850177280077839,ade,best_of
6,0.30765256864261425,ade,best_of
7,0.07591350251738911,ade,best_of
8,0.0034334365732975477,ade,best_of
9,0.19916810532542303,ade,best_of
10,0.07136968782666973,ade,best_of
11,0.006181550156171409,ade,best_of
12,0.21185309297284297,ade,best_of
13,0.09120224642086928,ade,best_of
14,0.006756850549671375,ade,best_of
15,0.18450414095285572,ade,best_of
16,0.1001554392475512,ade,best_of
17,0.009409293623074244,ade,best_of
18,0.28724683655880473,ade,best_of
19,0.09317628706737857,ade,best_of
20,0.015302209630165027,ade,best_of
21,0.23178641297097224,ade,best_of
22,0.2596287116813894,ade,best_of
23,0.01414861341322376,ade,best_of
24,0.3741098751592187,ade,best_of
25,0.12819448812034398,ade,best_of
26,0.020370131457760756,ade,best_of
27,0.22755857340865396,ade,best_of
28,0.17369725906384223,ade,best_of
29,0.01981891172837711,ade,best_of
30,0.22513100538886854,ade,best_of
31,0.15779172871081823,ade,best_of
32,0.025726242172029134,ade,best_of
33,0.8784194783343094,ade,best_of
34,0.2543035934700728,ade,best_of
35,0.0312978180770251,ade,best_of
36,0.48184489827936344,ade,best_of
37,0.13971510098564097,ade,best_of
38,0.028723898848793093,ade,best_of
39,0.2819332847253821,ade,best_of
40,0.15521978363348424,ade,best_of
41,0.03669155748497916,ade,best_of
42,0.5724518765958158,ade,best_of
43,0.09096307932890574,ade,best_of
44,0.0316457299111389,ade,best_of
45,0.29813100871879483,ade,best_of
46,0.024711776009669246,ade,best_of
47,0.38404565309711897,ade,best_of
48,0.07603501966151359,ade,best_of
49,0.29343166026081785,ade,best_of
50,0.037358244388920527,ade,best_of
51,0.28075758465457207,ade,best_of
52,0.01960788761361258,ade,best_of
53,0.9799403523555568,ade,best_of
54,0.025799006847446886,ade,best_of
55,0.7005127125716956,ade,best_of
56,0.02870342502526504,ade,best_of
57,0.2527987942972845,ade,best_of
58,0.034681265613663546,ade,best_of
59,0.10251831334231186,ade,best_of
60,0.34000874870596487,ade,best_of
61,0.26174390610656323,ade,best_of
62,0.16318163986302525,ade,best_of
63,1.950419509496151,ade,best_of
64,0.5196855774589199,ade,best_of
65,0.38030881184718773,ade,best_of
66,0.6865966001328396,ade,best_of
67,0.4072306706091195,ade,best_of
68,0.607220335652873,ade,best_of
69,0.5447400694900576,ade,best_of
70,0.47495306896785233,ade,best_of
71,0.3161253218515967,ade,best_of
72,0.971103470264989,ade,best_of
73,0.2776933963420239,ade,best_of
74,0.2964913516450631,ade,best_of
75,0.32675414223920707,ade,best_of
76,0.6127964861079196,ade,best_of
77,0.5254464543766021,ade,best_of
78,0.7911198163115524,ade,best_of
79,0.33747640742824386,ade,best_of
80,0.2274188867470498,ade,best_of
81,0.4066686938367601,ade,best_of
82,0.6827989270143529,ade,best_of
83,0.12362887674910833,ade,best_of
84,0.1010483358257279,ade,best_of
85,0.07501711876809639,ade,best_of
86,0.14310043611355422,ade,best_of
87,0.11946294492735544,ade,best_of
88,0.16718323839008545,ade,best_of
89,0.18886043813527162,ade,best_of
90,0.25715963283206217,ade,best_of
91,0.40221158284141084,ade,best_of
92,0.3528129288479711,ade,best_of
93,0.7546931511644391,ade,best_of
94,0.450529710753788,ade,best_of
95,0.4478205246819585,ade,best_of
96,1.1894872955750933,ade,best_of
97,0.4418252651519896,ade,best_of
98,0.7932748699752871,ade,best_of
99,1.7014546004074964,ade,best_of
