,value,metric,type
0,1.4118946822298448,kde,best_of
1,0.45758049381701027,kde,best_of
2,4.08654370034656,kde,best_of
3,7.719387923298219,kde,best_of
4,2.2331028002007014,kde,best_of
5,-0.9019579748643105,kde,best_of
6,0.21612134093334578,kde,best_of
7,-2.4427583519166536,kde,best_of
8,-4.824802027769608,kde,best_of
9,4.709368508287997,kde,best_of
10,-1.6108630583334251,kde,best_of
11,-5.87946955393219,kde,best_of
12,2.376558608401972,kde,best_of
13,-1.6974641475329486,kde,best_of
14,-4.238147017450569,kde,best_of
15,-1.1964913129087373,kde,best_of
16,-1.2270564658926382,kde,best_of
17,-5.307557337795306,kde,best_of
18,-0.7996876992407513,kde,best_of
19,-1.5827847773231414,kde,best_of
20,-4.774458709839808,kde,best_of
21,3.5216825528108457,kde,best_of
22,0.5421901757026324,kde,best_of
23,-4.955783530928026,kde,best_of
24,15.5412801887117,kde,best_of
25,-1.1156625524817894,kde,best_of
26,-4.594016381954418,kde,best_of
27,-0.04764399281401868,kde,best_of
28,1.4298958798924448,kde,best_of
29,-3.450189858123651,kde,best_of
30,2.8401510286388776,kde,best_of
31,1.184476376312153,kde,best_of
32,-3.751962459600597,kde,best_of
33,3.1140431666727335,kde,best_of
34,-0.39823224248232236,kde,best_of
35,-4.087753422822434,kde,best_of
36,2.3841830914786386,kde,best_of
37,0.6302299154768654,kde,best_of
38,-3.607420083006001,kde,best_of
39,3.3230538121029207,kde,best_of
40,1.8006189937589234,kde,best_of
41,-3.6145088627798674,kde,best_of
42,1.9145046958876688,kde,best_of
43,-0.40792627544320126,kde,best_of
44,-3.6781160465192015,kde,best_of
45,2.1027342342191515,kde,best_of
46,-2.9552526327391595,kde,best_of
47,1.669652688594688,kde,best_of
48,-1.3454790125767475,kde,best_of
49,1.160862733556184,kde,best_of
50,-1.3846604841355763,kde,best_of
51,3.343835186527322,kde,best_of
52,-3.5231321517067657,kde,best_of
53,8.766286201404903,kde,best_of
54,-3.147273379592663,kde,best_of
55,9.465621023943038,kde,best_of
56,-5.0846743164830555,kde,best_of
57,0.7709983630874184,kde,best_of
58,-4.29478730245914,kde,best_of
59,0.010294198120259779,kde,best_of
60,1.6549328142960709,kde,best_of
61,-0.241677952491729,kde,best_of
62,-0.2830469158069455,kde,best_of
63,16.601891567031284,kde,best_of
64,1.5823002757561682,kde,best_of
65,4.1010574071934895,kde,best_of
66,6.050154152561768,kde,best_of
67,2.331619718321511,kde,best_of
68,11.099749677547571,kde,best_of
69,4.6038995511711756,kde,best_of
70,1.55975937759477,kde,best_of
71,1.9600585219552749,kde,best_of
72,9.638720970557616,kde,best_of
73,-0.002646189742762317,kde,best_of
74,-0.4872453105855979,kde,best_of
75,2.8605728076792336,kde,best_of
76,9.639012637141896,kde,best_of
77,12.848361628359555,kde,best_of
78,15.578919405449083,kde,best_of
79,1.1275378090745427,kde,best_of
80,0.23323588741569007,kde,best_of
81,7.122112368476144,kde,best_of
82,6.482439618899013,kde,best_of
83,1.3037470743986093,kde,best_of
84,0.7680529100051396,kde,best_of
85,-0.9134774869948032,kde,best_of
86,-1.1610578115664838,kde,best_of
87,-1.7476229376858272,kde,best_of
88,-1.0997938191137608,kde,best_of
89,-0.9405147000808771,kde,best_of
90,1.5753872205901398,kde,best_of
91,0.21700522663476085,kde,best_of
92,-0.5525187354324026,kde,best_of
93,9.78064469469267,kde,best_of
94,1.0384553671585306,kde,best_of
95,9.192934507781931,kde,best_of
96,15.526109488783897,kde,best_of
97,4.548060190485603,kde,best_of
98,3.848323946303855,kde,best_of
99,17.018427053726246,kde,best_of
100,2.4428061908412264,kde,best_of
101,2.058251935315316,kde,best_of
102,0.1089163102634016,kde,best_of
103,4.3890265893262566,kde,best_of
104,1.5938688351852408,kde,best_of
105,2.766851932397647,kde,best_of
106,-0.07519807808266568,kde,best_of
107,4.849508454995326,kde,best_of
108,-0.17646637511993343,kde,best_of
109,-0.044095724213806003,kde,best_of
110,1.038332305107587,kde,best_of
111,-0.12606988177513678,kde,best_of
112,0.8020308293687655,kde,best_of
113,-0.018641269239795144,kde,best_of
114,0.10088357140946008,kde,best_of
115,-0.8005144768030037,kde,best_of
116,2.588103387094381,kde,best_of
117,0.05293023304169603,kde,best_of
118,5.349253296686283,kde,best_of
119,11.847645271915075,kde,best_of
120,2.412416185852094,kde,best_of
121,2.6087574135605607,kde,best_of
122,3.7912598863019253,kde,best_of
123,6.4164614999102865,kde,best_of
124,2.729013113112862,kde,best_of
125,19.16847753931464,kde,best_of
126,0.8055966991818784,kde,best_of
127,3.5697419448916405,kde,best_of
128,11.69516352099158,kde,best_of
129,9.545130424816156,kde,best_of
130,15.315726321675031,kde,best_of
131,-0.0657715506328615,kde,best_of
132,5.286235075557329,kde,best_of
133,0.08322035058699806,kde,best_of
134,-0.13734723097199336,kde,best_of
135,-0.07251746303387574,kde,best_of
136,-1.41987891643831,kde,best_of
137,-0.30217276075314714,kde,best_of
138,-0.5473755311506497,kde,best_of
139,-0.47109908020353597,kde,best_of
140,-0.600363171078036,kde,best_of
141,1.9994738959213396,kde,best_of
142,-0.8332799311320469,kde,best_of
143,6.9819563505375175,kde,best_of
144,11.390637753221077,kde,best_of
145,-1.1438063963736975,kde,best_of
146,11.199713704732385,kde,best_of
147,0.5197487471212688,kde,best_of
148,1.9243955164673077,kde,best_of
149,-0.8417688418866077,kde,best_of
150,5.409017569980211,kde,best_of
151,1.8149051822595672,kde,best_of
152,-0.4800393986777558,kde,best_of
153,-0.45000720395159854,kde,best_of
154,-0.8849850460383456,kde,best_of
155,-1.1727329187277633,kde,best_of
156,0.2264792509084126,kde,best_of
157,8.571147417633544,kde,best_of
158,5.755636797764315,kde,best_of
159,7.2266644054643985,kde,best_of
160,6.2062768374481285,kde,best_of
161,4.361258573851995,kde,best_of
162,13.601244177913326,kde,best_of
163,4.279848274088481,kde,best_of
164,3.096692345171924,kde,best_of
165,4.610824439111237,kde,best_of
166,1.1393199572926578,kde,best_of
167,15.332568476460748,kde,best_of
168,5.659447800457844,kde,best_of
169,2.565014147495463,kde,best_of
170,9.373415692177046,kde,best_of
171,2.032941368172422,kde,best_of
172,2.4958230425119514,kde,best_of
173,4.3485330489358525,kde,best_of
174,-0.04551542899140232,kde,best_of
175,11.291297644894826,kde,best_of
176,0.3003889363856176,kde,best_of
177,15.3656293086165,kde,best_of
178,2.01104695791963,kde,best_of
179,5.638401904996041,kde,best_of
180,2.0036718468620154,kde,best_of
181,4.0820241595283,kde,best_of
182,3.2114797785295934,kde,best_of
183,1.642013496282321,kde,best_of
184,-0.390149741921322,kde,best_of
185,0.3375293722472081,kde,best_of
186,-1.4380981815633394,kde,best_of
187,0.5570725661929281,kde,best_of
188,-0.3161044944433134,kde,best_of
189,8.84433255369926,kde,best_of
190,1.9296434454578437,kde,best_of
191,13.950941718537804,kde,best_of
192,0.6753739343275408,kde,best_of
193,-0.029415487642431973,kde,best_of
194,5.611378113184501,kde,best_of
195,2.28493302489619,kde,best_of
196,1.3033111868636473,kde,best_of
197,0.6222107717116634,kde,best_of
198,2.7559106400288664,kde,best_of
199,-0.14875884610597112,kde,best_of
200,-1.1416798973286784,kde,best_of
201,4.376415421022664,kde,best_of
202,0.3954024424872868,kde,best_of
203,0.048910872247132336,kde,best_of
204,10.172645173379712,kde,best_of
205,1.389840336125446,kde,best_of
206,-0.6625121278708427,kde,best_of
207,0.2754873019691315,kde,best_of
208,-0.3949026486358997,kde,best_of
209,2.0896858991565175,kde,best_of
210,8.21046523727815,kde,best_of
211,1.231835355397537,kde,best_of
212,2.154537587473132,kde,best_of
213,7.102951922315272,kde,best_of
214,0.615657854870395,kde,best_of
215,6.296832286115348,kde,best_of
216,8.725495810228152,kde,best_of
217,6.710795011882899,kde,best_of
218,6.931536122607068,kde,best_of
219,7.35530429777462,kde,best_of
220,12.30661691796131,kde,best_of
221,12.566963775087052,kde,best_of
222,8.276529660458312,kde,best_of
223,15.45527798969569,kde,best_of
224,5.534295887355161,kde,best_of
225,16.87069453821232,kde,best_of
226,4.497208756775203,kde,best_of
227,11.404213708296497,kde,best_of
228,3.856769494252125,kde,best_of
229,1.9559535768950602,kde,best_of
230,0.9311122092741748,kde,best_of
231,1.3209762657791009,kde,best_of
232,-0.4075758183396754,kde,best_of
233,0.18635068241017955,kde,best_of
234,8.588841941132161,kde,best_of
235,9.315214216031062,kde,best_of
236,2.1324220473415534,kde,best_of
237,1.18789822462057,kde,best_of
238,3.2745948243225733,kde,best_of
239,1.0144875810868024,kde,best_of
240,0.008703102785894506,kde,best_of
241,0.7373110269060196,kde,best_of
242,4.817585053311563,kde,best_of
243,1.907661087295013,kde,best_of
244,10.20777732360426,kde,best_of
245,0.7621197472092338,kde,best_of
246,10.778989010752511,kde,best_of
247,0.8097712427612029,kde,best_of
248,-0.29409449767591983,kde,best_of
249,-0.5858905073439205,kde,best_of
250,-1.382692389851612,kde,best_of
251,4.203325880630216,kde,best_of
252,4.432764467818334,kde,best_of
253,-0.451604477262901,kde,best_of
254,-0.310828402365212,kde,best_of
255,7.48226341421073,kde,best_of
256,1.874217134448437,kde,best_of
257,11.622511946384817,kde,best_of
258,2.4934323765727786,kde,best_of
259,1.3000344759760625,kde,best_of
260,0.5161070818560202,kde,best_of
261,2.795227300656385,kde,best_of
262,-0.3337916294744834,kde,best_of
263,0.6080712820668102,kde,best_of
264,-0.059295268937718526,kde,best_of
265,-0.6918089455625146,kde,best_of
266,-0.797370841188118,kde,best_of
267,0.4716694838143904,kde,best_of
268,0.9990628130122463,kde,best_of
269,2.9175075266076704,kde,best_of
270,0.40923624427924554,kde,best_of
271,3.0550711923617433,kde,best_of
272,14.651403331844111,kde,best_of
273,0.4035051217763603,kde,best_of
274,1.1419371532772922,kde,best_of
275,1.6677131238344154,kde,best_of
276,6.894371039092831,kde,best_of
277,0.8230905212383193,kde,best_of
278,-0.7119687092605999,kde,best_of
279,2.523046896525938,kde,best_of
280,10.483770860031894,kde,best_of
281,2.6675761100965274,kde,best_of
282,-0.4919763613510417,kde,best_of
283,0.016314888554809448,kde,best_of
284,1.6928135467375482,kde,best_of
285,1.8466304041837691,kde,best_of
286,0.2969522361283178,kde,best_of
287,0.7306543631761913,kde,best_of
288,3.5937385035637854,kde,best_of
289,2.7628345371929415,kde,best_of
290,3.6859511959559867,kde,best_of
291,4.470630153132362,kde,best_of
292,1.7421554623961975,kde,best_of
293,10.422340985420968,kde,best_of
294,3.833527814092385,kde,best_of
295,8.236049132432337,kde,best_of
296,1.1301131229600458,kde,best_of
297,6.8960421230260245,kde,best_of
298,2.4543891563077214,kde,best_of
299,10.438441559264104,kde,best_of
300,9.14362153319205,kde,best_of
301,10.793792085462389,kde,best_of
302,-0.15374790063419955,kde,best_of
303,-0.32234608403426956,kde,best_of
304,-1.0189069749819577,kde,best_of
305,-0.31173042024650943,kde,best_of
306,-1.2447230030317245,kde,best_of
307,1.171098636385289,kde,best_of
308,-0.3145945194194768,kde,best_of
309,0.32012691899391077,kde,best_of
310,0.6489112881752049,kde,best_of
311,3.1780348747885583,kde,best_of
312,0.743368659832083,kde,best_of
313,1.5597354883419179,kde,best_of
314,0.7044119558136106,kde,best_of
315,5.509397532503318,kde,best_of
316,-0.6008522357680788,kde,best_of
317,0.7212853100343486,kde,best_of
318,3.651895106405953,kde,best_of
319,2.210777267704347,kde,best_of
320,0.5416821444613258,kde,best_of
321,0.7539317706499322,kde,best_of
322,4.723144640470848,kde,best_of
323,1.2584591857626375,kde,best_of
324,0.27747821041053305,kde,best_of
325,1.1463845751230888,kde,best_of
326,5.743968703895877,kde,best_of
327,0.2771197519091561,kde,best_of
328,6.403957598409488,kde,best_of
329,12.10484540690814,kde,best_of
330,4.776924630213443,kde,best_of
331,7.683466569262322,kde,best_of
332,0.4633998594562123,kde,best_of
333,0.6974240974068303,kde,best_of
334,-0.23799717866312378,kde,best_of
335,1.0414243384928006,kde,best_of
336,1.2735459963833522,kde,best_of
337,-0.5933892356218106,kde,best_of
338,-0.0811910214159397,kde,best_of
339,0.3282570865378424,kde,best_of
340,-1.0568576519190012,kde,best_of
341,-1.442291987443141,kde,best_of
342,-1.2630440455104615,kde,best_of
343,-1.5341437073976658,kde,best_of
344,-1.327618076107025,kde,best_of
345,-0.9641905063702462,kde,best_of
346,-1.4989347244567117,kde,best_of
347,-0.8255885907672369,kde,best_of
348,-1.013464037592769,kde,best_of
349,-1.1948215053352094,kde,best_of
350,-0.11382996909437407,kde,best_of
351,0.18189044885132621,kde,best_of
352,-1.3722969091245683,kde,best_of
353,4.9631566416789346,kde,best_of
354,-1.1209854849013345,kde,best_of
355,0.1950789983204449,kde,best_of
356,1.8753493686958271,kde,best_of
357,7.879356379434137,kde,best_of
358,-0.4400309085139571,kde,best_of
359,-0.5189852442305538,kde,best_of
360,-1.3512231184898966,kde,best_of
361,-0.8198557795646788,kde,best_of
362,3.420384866306436,kde,best_of
363,1.458409449243223,kde,best_of
