,value,metric,type
0,2.046129984361371,kde,full
1,0.33945069904560127,kde,full
2,1.37238482476903,kde,full
3,5.97959820768405,kde,full
4,1.497933944835929,kde,full
5,-1.401319495972219,kde,full
6,0.48555304461554905,kde,full
7,-2.1699827306971233,kde,full
8,-5.02490386462339,kde,full
9,-2.090700143858956,kde,full
10,-2.5871607039155906,kde,full
11,-5.052013702771697,kde,full
12,-1.369976712651597,kde,full
13,-2.2927160703920935,kde,full
14,-4.970529644085583,kde,full
15,-0.09573575445817067,kde,full
16,-1.5426113360586804,kde,full
17,-4.968415242056235,kde,full
18,2.194917693029808,kde,full
19,-1.618001225069547,kde,full
20,-5.113877532361625,kde,full
21,3.4273016377022203,kde,full
22,-0.08530841457502644,kde,full
23,-5.017070906749814,kde,full
24,6.500386000587891,kde,full
25,-1.0937896048487417,kde,full
26,-4.914716743146921,kde,full
27,-0.041300103964784174,kde,full
28,-0.5394460860991114,kde,full
29,-4.92392427748206,kde,full
30,1.5082465301793808,kde,full
31,-0.9319634879917269,kde,full
32,-4.7331040168503415,kde,full
33,3.27334701845572,kde,full
34,-0.7836906766157764,kde,full
35,-4.646798396778231,kde,full
36,4.142699353682603,kde,full
37,0.13899725540889013,kde,full
38,-4.330154123839497,kde,full
39,0.829402195669465,kde,full
40,0.37862097334465683,kde,full
41,-3.9111720333442994,kde,full
42,1.2316544850049957,kde,full
43,0.002933135620329569,kde,full
44,-4.226984389579908,kde,full
45,2.4452959649539303,kde,full
46,-3.05765931208765,kde,full
47,2.9366042162601484,kde,full
48,-2.9429336697605706,kde,full
49,0.8075729925195344,kde,full
50,-3.267511052909631,kde,full
51,2.0517974220059925,kde,full
52,-4.5748652886574845,kde,full
53,1.9509001175924594,kde,full
54,-4.411101701390233,kde,full
55,3.588599541623601,kde,full
56,-4.6679994618152705,kde,full
57,-0.014764408622615022,kde,full
58,-4.565441656099558,kde,full
59,0.0383841893765942,kde,full
60,1.82981591750979,kde,full
61,-0.5807004900310737,kde,full
62,-0.19561360836709465,kde,full
63,7.175687383108108,kde,full
64,1.1615790473963854,kde,full
65,2.594345651273256,kde,full
66,5.02060278216761,kde,full
67,3.7850097394995545,kde,full
68,6.4884963442450365,kde,full
69,2.0773623645454666,kde,full
70,2.5406246011310656,kde,full
71,3.718691894128906,kde,full
72,1.8023096492117041,kde,full
73,-0.3131518094532703,kde,full
74,0.4416473749092805,kde,full
75,0.19842984658934765,kde,full
76,3.161622470048896,kde,full
77,5.900447381871176,kde,full
78,9.144801989210976,kde,full
79,1.218107975153989,kde,full
80,0.2548419408458358,kde,full
81,4.970916699364057,kde,full
82,4.690099147629374,kde,full
83,0.6828701407261691,kde,full
84,-0.7927198453673854,kde,full
85,-1.4314698693272738,kde,full
86,-0.9181326587980081,kde,full
87,-1.833971375513917,kde,full
88,-0.6598906973851515,kde,full
89,-1.0376929547599825,kde,full
90,-1.1214447608586284,kde,full
91,1.5785464218632077,kde,full
92,-0.718418223980521,kde,full
93,1.6676796842837431,kde,full
94,2.222354031876858,kde,full
95,4.855793115090714,kde,full
96,14.707036290658678,kde,full
97,1.9205700620154562,kde,full
98,4.245332827140546,kde,full
99,14.506794190257061,kde,full
100,1.0703355561856924,kde,full
101,0.9604267674598704,kde,full
102,-0.23238091656483856,kde,full
103,1.3950567496311361,kde,full
104,1.6142500495947674,kde,full
105,1.0880888053581255,kde,full
106,-0.3233689199086237,kde,full
107,1.783947317975752,kde,full
108,-0.22411806301993817,kde,full
109,-0.5956627968949424,kde,full
110,-0.20785450161946858,kde,full
111,0.49557372593322424,kde,full
112,0.363956779731877,kde,full
